	Gene
371	ACAT2
372	ACBD3
373	ACBD4
374	ACBD5
375	ACBD6
376	ACBD7
377	ACCN5
378	ACCS
379	ACCSL
380	ACD
381	ACE
382	ACE2
383	ACER1
384	ACER2
385	ACER3
386	ACHE
387	ACIN1
388	ACKR1
389	ACKR2
390	ACKR3
391	ACKR4
392	ACLY
393	ACMSD
394	ACO1
395	ACO2
396	ACOT1
397	ACOT11
398	ACOT12
399	ACOT13
400	ACOT2
401	ACOT4
402	ACOT6
403	ACOT7
404	ACOT8
405	ACOT9
406	ACOX1
407	ACOX2
408	ACOX3
409	ACOXL
410	ACP1
411	ACP2
412	ACP5
413	ACP6
414	ACPP
415	ACPT
416	ACR
417	ACRBP
418	ACRC
419	ACRV1
420	ACSBG1
421	ACSBG2
422	ACSF2
423	ACSF3
424	ACSL1
425	ACSL3
426	ACSL4
427	ACSL5
428	ACSL6
429	ACSM1
430	ACSM2A
431	ACSM2B
432	ACSM3
433	ACSM4
434	ACSM5
435	ACSM6
436	ACSS1
437	ACSS2
438	ACSS3
439	ACTA1
440	ACTA2
441	ACTB
442	ACTBL2
443	ACTC1
444	ACTG1
445	ACTG2
446	ACTL10
447	ACTL6A
448	ACTL6B
449	ACTL7A
450	ACTL7B
451	ACTL8
452	ACTL9
453	ACTN1
454	ACTN2
455	ACTN3
456	ACTN4
457	ACTR10
458	ACTR1A
459	ACTR1B
460	ACTR2
461	ACTR3
462	ACTR3B
463	ACTR3C
464	ACTR5
465	ACTR6
466	ACTR8
467	ACTRT1
468	ACTRT2
469	ACTRT3
470	ACVR1
471	ACVR1B
472	ACVR1C
473	ACVR2A
474	ACVR2B
475	ACVRL1
476	ACY1
477	ACY3
478	ACYP1
479	ACYP2
480	ADA
481	ADAD1
482	ADAD2
483	ADAL
484	ADAM10
485	ADAM11
486	ADAM12
487	ADAM15
488	ADAM17
489	ADAM18
490	ADAM19
491	ADAM2
492	ADAM20
493	ADAM21
494	ADAM22
495	ADAM23
496	ADAM28
497	ADAM29
498	ADAM30
499	ADAM32
500	ADAM33
501	ADAM7
502	ADAM8
503	ADAM9
504	ADAMDEC1
505	ADAMTS1
506	ADAMTS10
507	ADAMTS12
508	ADAMTS13
509	ADAMTS14
510	ADAMTS15
511	ADAMTS16
512	ADAMTS17
513	ADAMTS18
514	ADAMTS19
515	ADAMTS2
516	ADAMTS20
517	ADAMTS3
518	ADAMTS4
519	ADAMTS5
520	ADAMTS6
521	ADAMTS7
522	ADAMTS8
523	ADAMTS9
524	ADAMTSL1
525	ADAMTSL2
526	ADAMTSL3
527	ADAMTSL4
528	ADAMTSL5
529	ADAP1
530	ADAP2
531	ADAR
532	ADARB1
533	ADARB2
534	ADAT1
535	ADAT2
536	ADAT3
537	ADCK1
538	ADCK2
539	ADCK3
540	ADCK4
541	ADCK5
542	ADCY1
543	ADCY10
544	ADCY2
545	ADCY3
546	ADCY4
547	ADCY5
548	ADCY6
549	ADCY7
550	ADCY8
551	ADCY9
552	ADCYAP1
553	ADCYAP1R1
554	ADD1
555	ADD2
556	ADD3
557	ADGB
558	ADGRA1
559	ADGRA2
560	ADGRA3
561	ADGRB1
562	ADGRB2
563	ADGRB3
564	ADGRD1
565	ADGRD2
566	ADGRE1
567	ADGRE2
568	ADGRE3
569	ADGRE5
570	ADGRF1
571	ADGRF2
572	ADGRF3
573	ADGRF4
574	ADGRF5
575	ADGRG1
576	ADGRG2
577	ADGRG3
578	ADGRG4
579	ADGRG5
580	ADGRG6
581	ADGRG7
582	ADGRL1
583	ADGRL2
584	ADGRL3
585	ADGRL4
586	ADGRV1
587	ADH1A
588	ADH1B
589	ADH1C
590	ADH4
591	ADH5
592	ADH6
593	ADH7
594	ADHFE1
595	ADI1
596	ADIG
597	ADIPOQ
598	ADIPOR1
599	ADIPOR2
600	ADIRF
601	ADK
602	ADM
603	ADM2
604	ADM5
605	ADNP
606	ADNP2
607	ADO
608	ADORA1
609	ADORA2A
610	ADORA2B
611	ADORA3
612	ADPGK
613	ADPRH
614	ADPRHL1
615	ADPRHL2
616	ADPRM
617	ADRA1A
618	ADRA1B
619	ADRA1D
620	ADRA2A
621	ADRA2B
622	ADRA2C
623	ADRB1
624	ADRB2
625	ADRB3
626	ADRBK1
627	ADRBK2
628	ADRM1
629	ADSL
630	ADSS
631	ADSSL1
632	ADTRP
633	AEBP1
634	AEBP2
635	AEN
636	AES
637	AF131216.1
638	AF165138.7
639	AF196779.12
640	AFAP1
641	AFAP1L1
642	AFAP1L2
643	AFF1
644	AFF2
645	AFF3
646	AFF4
647	AFG3L2
648	AFM
649	AFMID
650	AFP
651	AFTPH
652	AGA
653	AGAP1
654	AGAP2
655	AGAP3
656	AGAP4
657	AGAP5
658	AGAP6
659	AGAP9
660	AGBL1
661	AGBL2
662	AGBL3
663	AGBL4
664	AGBL5
665	AGER
666	AGFG1
667	AGFG2
668	AGGF1
669	AGK
670	AGL
671	AGMAT
672	AGMO
673	AGO1
674	AGO2
675	AGO3
676	AGO4
677	AGPAT1
678	AGPAT2
679	AGPAT3
680	AGPAT4
681	AGPAT5
682	AGPAT6
683	AGPAT9
684	AGPS
685	AGR2
686	AGR3
687	AGRN
688	AGRP
689	AGT
690	AGTPBP1
691	AGTR1
692	AGTR2
693	AGTRAP
694	AGXT
695	AGXT2
696	AHCTF1
697	AHCY
698	AHCYL1
699	AHCYL2
700	AHDC1
701	AHI1
702	AHNAK
703	AHNAK2
704	AHR
705	AHRR
706	AHSA1
707	AHSA2
708	AHSG
709	AHSP
710	AICDA
711	AIDA
712	AIF1
713	AIF1L
714	AIFM1
715	AIFM2
716	AIFM3
717	AIG1
718	AIM1
719	AIM1L
720	AIM2
721	AIMP1
722	AIMP2
723	AIP
724	AIPL1
725	AIRE
726	AJ239318.1
727	AJAP1
728	AJUBA
729	AK1
730	AK2
731	AK3
732	AK4
733	AK5
734	AK6
735	AK7
736	AK8
737	AK9
738	AKAP1
739	AKAP10
740	AKAP11
741	AKAP12
742	AKAP13
743	AKAP14
744	AKAP17A
745	AKAP2
746	AKAP3
747	AKAP4
748	AKAP5
749	AKAP6
750	AKAP7
751	AKAP8
752	AKAP8L
753	AKAP9
754	AKIP1
755	AKIRIN1
756	AKIRIN2
757	AKNA
758	AKNAD1
759	AKR1A1
760	AKR1B1
761	AKR1B10
762	AKR1B15
763	AKR1C1
764	AKR1C2
765	AKR1C3
766	AKR1C4
767	AKR1D1
768	AKR1E2
769	AKR7A2
770	AKR7A3
771	AKR7L
772	AKT1
773	AKT1S1
774	AKT2
775	AKT3
776	AKTIP
777	AL008723.1
778	AL021546.6
779	AL022578.1
780	AL023806.1
781	AL049794.1
782	AL049872.1
783	AL109927.1
784	AL133335.1
785	AL133475.1
786	AL135745.1
787	AL135842.1
788	AL137164.1
789	AL138706.2
790	AL138751.1
791	AL139333.1
792	AL158801.1
793	AL158839.1
794	AL162426.1
795	AL354822.1
796	AL354828.1
797	AL354828.2
798	AL356135.1
799	AL356289.1
800	AL356585.2
801	AL357140.1
802	AL358852.1
803	AL365181.2
804	AL365202.1
805	AL445183.1
806	AL513523.1
