	Gene
3921	COX5A
3922	COX5B
3923	COX6A1
3924	COX6A2
3925	COX6B1
3926	COX6B2
3927	COX6C
3928	COX7A1
3929	COX7A2
3930	COX7A2L
3931	COX7B
3932	COX7B2
3933	COX7C
3934	COX8A
3935	COX8C
3936	CP
3937	CPA1
3938	CPA2
3939	CPA3
3940	CPA4
3941	CPA5
3942	CPA6
3943	CPAMD8
3944	CPB1
3945	CPB2
3946	CPD
3947	CPE
3948	CPEB1
3949	CPEB2
3950	CPEB3
3951	CPEB4
3952	CPED1
3953	CPLX1
3954	CPLX2
3955	CPLX3
3956	CPLX4
3957	CPM
3958	CPN1
3959	CPN2
3960	CPNE1
3961	CPNE2
3962	CPNE3
3963	CPNE4
3964	CPNE5
3965	CPNE6
3966	CPNE7
3967	CPNE8
3968	CPNE9
3969	CPO
3970	CPOX
3971	CPPED1
3972	CPQ
3973	CPS1
3974	CPSF1
3975	CPSF2
3976	CPSF3
3977	CPSF3L
3978	CPSF4
3979	CPSF4L
3980	CPSF6
3981	CPSF7
3982	CPT1A
3983	CPT1B
3984	CPT1C
3985	CPT2
3986	CPTP
3987	CPVL
3988	CPXCR1
3989	CPXM1
3990	CPXM2
3991	CPZ
3992	CR1
3993	CR1L
3994	CR2
3995	CR388407.1
3996	CR392000.1
3997	CR547123.1
3998	CR753845.1
3999	CR759815.1
4000	CR847794.1
4001	CR933783.1
4002	CRABP1
4003	CRABP2
4004	CRACR2A
4005	CRACR2B
4006	CRADD
4007	CRAMP1L
4008	CRAT
4009	CRB1
4010	CRB2
4011	CRB3
4012	CRBN
4013	CRCP
4014	CRCT1
4015	CREB1
4016	CREB3
4017	CREB3L1
4018	CREB3L2
4019	CREB3L3
4020	CREB3L4
4021	CREB5
4022	CREBBP
4023	CREBL2
4024	CREBRF
4025	CREBZF
4026	CREG1
4027	CREG2
4028	CRELD1
4029	CRELD2
4030	CREM
4031	CRH
4032	CRHBP
4033	CRHR1
4034	CRHR2
4035	CRIM1
4036	CRIP1
4037	CRIP2
4038	CRIP3
4039	CRIPAK
4040	CRIPT
4041	CRISP1
4042	CRISP2
4043	CRISP3
4044	CRISPLD1
4045	CRISPLD2
4046	CRK
4047	CRKL
4048	CRLF1
4049	CRLF2
4050	CRLF3
4051	CRLS1
4052	CRMP1
4053	CRNKL1
4054	CRNN
4055	CROCC
4056	CROCC2
4057	CROT
4058	CRP
4059	CRTAC1
4060	CRTAM
4061	CRTAP
4062	CRTC1
4063	CRTC2
4064	CRTC3
4065	CRX
4066	CRY1
4067	CRY2
4068	CRYAA
4069	CRYAB
4070	CRYBA1
4071	CRYBA2
4072	CRYBA4
4073	CRYBB1
4074	CRYBB2
4075	CRYBB3
4076	CRYBG3
4077	CRYGA
4078	CRYGB
4079	CRYGC
4080	CRYGD
4081	CRYGN
4082	CRYGS
4083	CRYL1
4084	CRYM
4085	CRYZ
4086	CRYZL1
4087	CS
4088	CSAD
4089	CSAG1
4090	CSDC2
4091	CSDE1
4092	CSE1L
4093	CSF1
4094	CSF1R
4095	CSF2
4096	CSF2RA
4097	CSF2RB
4098	CSF3
4099	CSF3R
4100	CSGALNACT1
4101	CSGALNACT2
4102	CSH1
4103	CSH2
4104	CSHL1
4105	CSK
4106	CSMD1
4107	CSMD2
4108	CSMD3
4109	CSN1S1
4110	CSN2
4111	CSN3
4112	CSNK1A1
4113	CSNK1A1L
4114	CSNK1D
4115	CSNK1E
4116	CSNK1G1
4117	CSNK1G2
4118	CSNK1G3
4119	CSNK2A1
4120	CSNK2A2
4121	CSNK2A3
4122	CSNK2B
4123	CSNK2B-LY6G5B-1181
4124	CSPG4
4125	CSPG5
4126	CSPP1
4127	CSRNP1
4128	CSRNP2
4129	CSRNP3
4130	CSRP1
4131	CSRP2
4132	CSRP2BP
4133	CSRP3
4134	CST1
4135	CST11
4136	CST2
4137	CST3
4138	CST4
4139	CST5
4140	CST6
4141	CST7
4142	CST8
4143	CST9
4144	CST9L
4145	CSTA
4146	CSTB
4147	CSTF1
4148	CSTF2
4149	CSTF2T
4150	CSTF3
4151	CSTL1
4152	CT45A1
4153	CT45A10
4154	CT45A2
4155	CT45A3
4156	CT45A5
4157	CT45A6
4158	CT45A7
4159	CT45A8
4160	CT45A9
4161	CT47A1
4162	CT47A10
4163	CT47A11
4164	CT47A12
4165	CT47A2
4166	CT47A3
4167	CT47A4
4168	CT47A5
4169	CT47A6
4170	CT47A7
4171	CT47A8
4172	CT47A9
4173	CT47B1
4174	CT55
4175	CT62
4176	CT83
4177	CTAG1A
4178	CTAG1B
4179	CTAG2
4180	CTAGE1
4181	CTAGE15
4182	CTAGE4
4183	CTAGE5
4184	CTAGE6
4185	CTAGE8
4186	CTAGE9
4187	CTB-102L5.4
4188	CTB-133G6.1
4189	CTB-54O9.9
4190	CTB-55O6.8
4191	CTB-60B18.6
4192	CTB-96E2.2
4193	CTBP1
4194	CTBP2
4195	CTBS
4196	CTC-260F20.3
4197	CTC-273B12.7
4198	CTC-360G5.8
4199	CTC-429P9.4
4200	CTC-432M15.3
4201	CTC-435M10.3
4202	CTC-454I21.3
4203	CTC-512J12.6
4204	CTC-534A2.2
4205	CTC1
4206	CTCF
4207	CTCFL
4208	CTD-2006C1.13
4209	CTD-2007N20.1
4210	CTD-2116N17.1
4211	CTD-2132N18.3
4212	CTD-2135J3.4
4213	CTD-2140B24.4
4214	CTD-2192J16.17
4215	CTD-2192J16.24
4216	CTD-2207O23.12
4217	CTD-2207O23.3
4218	CTD-2287O16.3
4219	CTD-2313N18.7
4220	CTD-2370N5.3
4221	CTD-2410N18.5
4222	CTD-2501B8.1
4223	CTD-2510F5.6
4224	CTD-2521M24.10
4225	CTD-2545M3.6
4226	CTD-2583A14.10
4227	CTD-3074O7.11
4228	CTD-3088G3.8
4229	CTD-3105H18.16
4230	CTD-3214H19.16
4231	CTDNEP1
4232	CTDP1
4233	CTDSP1
4234	CTDSP2
4235	CTDSPL
4236	CTDSPL2
4237	CTF1
4238	CTGF
4239	CTGLF11P
4240	CTH
4241	CTHRC1
4242	CTIF
4243	CTLA4
4244	CTNNA1
4245	CTNNA2
4246	CTNNA3
4247	CTNNAL1
4248	CTNNB1
4249	CTNNBIP1
4250	CTNNBL1
4251	CTNND1
4252	CTNND2
4253	CTNS
4254	CTPS1
4255	CTPS2
4256	CTR9
4257	CTRB1
4258	CTRB2
4259	CTRC
4260	CTRL
4261	CTSA
4262	CTSB
4263	CTSC
4264	CTSD
4265	CTSE
4266	CTSF
4267	CTSG
4268	CTSH
4269	CTSK
4270	CTSL
4271	CTSO
4272	CTSS
4273	CTSV
4274	CTSW
4275	CTSZ
4276	CTTN
4277	CTTNBP2
4278	CTTNBP2NL
4279	CTU1
4280	CTU2
4281	CTXN1
4282	CTXN2
4283	CTXN3
4284	CU104787.1
4285	CUBN
4286	CUEDC1
4287	CUEDC2
4288	CUL1
4289	CUL2
4290	CUL3
4291	CUL4A
4292	CUL4B
4293	CUL5
4294	CUL7
4295	CUL9
4296	CUTA
4297	CUTC
4298	CUX1
4299	CUX2
4300	CUZD1
4301	CWC15
4302	CWC22
4303	CWC25
4304	CWC27
4305	CWF19L1
4306	CWF19L2
4307	CWH43
4308	CX3CL1
4309	CX3CR1
4310	CXADR
4311	CXCL1
4312	CXCL10
4313	CXCL11
4314	CXCL12
4315	CXCL13
4316	CXCL14
4317	CXCL16
4318	CXCL17
4319	CXCL2
4320	CXCL3
4321	CXCL5
4322	CXCL6
4323	CXCL8
4324	CXCL9
4325	CXCR1
4326	CXCR2
4327	CXCR3
4328	CXCR4
4329	CXCR5
4330	CXCR6
4331	CXXC1
4332	CXXC4
4333	CXXC5
4334	CXorf21
4335	CXorf23
4336	CXorf36
4337	CXorf38
4338	CXorf40A
4339	CXorf40B
4340	CXorf49
4341	CXorf49B
4342	CXorf56
4343	CXorf57
4344	CXorf58
4345	CXorf65
4346	CXorf66
4347	CXorf67
4348	CYB561
4349	CYB561A3
4350	CYB561D1
4351	CYB561D2
4352	CYB5A
4353	CYB5B
4354	CYB5D1
4355	CYB5D2
4356	CYB5R1
4357	CYB5R2
4358	CYB5R3
4359	CYB5R4
4360	CYB5RL
4361	CYBA
4362	CYBB
4363	CYBRD1
4364	CYC1
4365	CYCS
4366	CYFIP1
4367	CYFIP2
4368	CYGB
4369	CYHR1
4370	CYLC1
4371	CYLC2
4372	CYLD
4373	CYP11A1
4374	CYP11B1
4375	CYP11B2
4376	CYP17A1
4377	CYP19A1
4378	CYP1A1
4379	CYP1A2
4380	CYP1B1
4381	CYP20A1
4382	CYP21A2
4383	CYP24A1
4384	CYP26A1
4385	CYP26B1
4386	CYP26C1
4387	CYP27A1
4388	CYP27B1
4389	CYP27C1
4390	CYP2A13
4391	CYP2A6
4392	CYP2A7
4393	CYP2B6
4394	CYP2C18
4395	CYP2C19
4396	CYP2C8
4397	CYP2C9
4398	CYP2D6
4399	CYP2D7
4400	CYP2E1
4401	CYP2F1
4402	CYP2J2
4403	CYP2R1
4404	CYP2S1
4405	CYP2U1
4406	CYP2W1
4407	CYP39A1
4408	CYP3A4
4409	CYP3A43
4410	CYP3A5
4411	CYP3A7
4412	CYP3A7-CYP3A51P
4413	CYP46A1
4414	CYP4A11
4415	CYP4A22
4416	CYP4B1
4417	CYP4F11
4418	CYP4F12
4419	CYP4F2
4420	CYP4F22
4421	CYP4F3
4422	CYP4F8
4423	CYP4V2
4424	CYP4X1
4425	CYP4Z1
4426	CYP51A1
4427	CYP7A1
4428	CYP7B1
4429	CYP8B1
4430	CYR61
4431	CYS1
4432	CYSLTR1
4433	CYSLTR2
4434	CYSRT1
4435	CYSTM1
4436	CYTH1
4437	CYTH2
4438	CYTH3
4439	CYTH4
4440	CYTIP
4441	CYTL1
4442	CYYR1
4443	D2HGDH
4444	D4S234E
4445	DAAM1
4446	DAAM2
4447	DAB1
4448	DAB2
4449	DAB2IP
4450	DACH1
4451	DACH2
4452	DACT1
4453	DACT2
4454	DACT3
4455	DAD1
4456	DADB-110M10.7
4457	DADB-127H9.10
4458	DAG1
4459	DAGLA
4460	DAGLB
4461	DALRD3
4462	DAMA-236L13.19
4463	DAMA-236L13.20
4464	DAND5
4465	DAO
4466	DAOA
4467	DAP
4468	DAP3
4469	DAPK1
4470	DAPK2
4471	DAPK3
4472	DAPL1
4473	DAPP1
4474	DARS
4475	DARS2
4476	DASS-312M4.10
4477	DAW1
4478	DAXX
4479	DAZ1
4480	DAZ2
4481	DAZ3
4482	DAZ4
4483	DAZAP1
4484	DAZAP2
4485	DAZL
4486	DBF4
4487	DBF4B
4488	DBH
4489	DBI
4490	DBN1
4491	DBNDD1
4492	DBNDD2
4493	DBNL
4494	DBP
4495	DBR1
4496	DBT
4497	DBX1
4498	DBX2
4499	DCAF10
4500	DCAF11
4501	DCAF12
4502	DCAF12L1
4503	DCAF12L2
4504	DCAF13
4505	DCAF15
4506	DCAF16
4507	DCAF17
4508	DCAF4
4509	DCAF4L1
4510	DCAF4L2
4511	DCAF5
4512	DCAF6
4513	DCAF7
4514	DCAF8
4515	DCAF8L1
4516	DCAF8L2
4517	DCAKD
4518	DCANP1
4519	DCBLD1
4520	DCBLD2
4521	DCC
4522	DCD
4523	DCDC1
4524	DCDC2
4525	DCDC2B
4526	DCDC2C
4527	DCHS1
4528	DCHS2
4529	DCK
4530	DCLK1
4531	DCLK2
4532	DCLK3
4533	DCLRE1A
4534	DCLRE1B
4535	DCLRE1C
4536	DCN
4537	DCP1A
4538	DCP1B
4539	DCP2
4540	DCPS
4541	DCST1
4542	DCST2
4543	DCSTAMP
4544	DCT
4545	DCTD
4546	DCTN1
4547	DCTN2
4548	DCTN3
4549	DCTN4
4550	DCTN5
4551	DCTN6
4552	DCTPP1
4553	DCUN1D1
4554	DCUN1D2
4555	DCUN1D3
4556	DCUN1D4
4557	DCUN1D5
4558	DCX
4559	DCXR
4560	DDA1
4561	DDAH1
4562	DDAH2
4563	DDB1
4564	DDB2
4565	DDC
4566	DDHD1
4567	DDHD2
4568	DDI1
4569	DDI2
4570	DDIAS
4571	DDIT3
4572	DDIT4
4573	DDIT4L
4574	DDN
4575	DDO
4576	DDOST
4577	DDR1
4578	DDR2
4579	DDRGK1
4580	DDT
4581	DDTL
4582	DDX1
4583	DDX10
4584	DDX11
4585	DDX17
4586	DDX18
4587	DDX19A
4588	DDX19B
4589	DDX20
4590	DDX21
4591	DDX23
4592	DDX24
4593	DDX25
4594	DDX26B
4595	DDX27
4596	DDX28
4597	DDX31
4598	DDX39A
4599	DDX39B
4600	DDX3X
4601	DDX3Y
4602	DDX4
4603	DDX41
4604	DDX42
4605	DDX43
4606	DDX46
4607	DDX47
4608	DDX49
4609	DDX5
4610	DDX50
4611	DDX51
4612	DDX52
4613	DDX53
4614	DDX54
4615	DDX55
4616	DDX56
4617	DDX58
4618	DDX59
4619	DDX6
4620	DDX60
4621	DDX60L
4622	DEAF1
4623	DEC1
4624	DECR1
4625	DECR2
4626	DEDD
4627	DEDD2
4628	DEF6
4629	DEF8
4630	DEFA1
4631	DEFA1B
4632	DEFA3
4633	DEFA4
4634	DEFA5
4635	DEFA6
4636	DEFB1
4637	DEFB103A
4638	DEFB103B
4639	DEFB104A
4640	DEFB104B
4641	DEFB105A
4642	DEFB105B
4643	DEFB106A
4644	DEFB106B
4645	DEFB107A
4646	DEFB107B
4647	DEFB108B
4648	DEFB110
4649	DEFB112
4650	DEFB113
4651	DEFB114
4652	DEFB115
4653	DEFB116
4654	DEFB118
4655	DEFB119
4656	DEFB121
4657	DEFB123
4658	DEFB124
4659	DEFB125
4660	DEFB126
4661	DEFB127
4662	DEFB128
4663	DEFB129
4664	DEFB130
4665	DEFB131
4666	DEFB132
4667	DEFB133
4668	DEFB134
4669	DEFB135
4670	DEFB136
4671	DEFB4A
4672	DEFB4B
4673	DEGS1
4674	DEGS2
4675	DEK
4676	DENND1A
4677	DENND1B
4678	DENND1C
4679	DENND2A
4680	DENND2C
4681	DENND2D
4682	DENND3
4683	DENND4A
4684	DENND4B
4685	DENND4C
4686	DENND5A
4687	DENND5B
4688	DENND6A
4689	DENND6B
4690	DENR
4691	DEPDC1
4692	DEPDC1B
4693	DEPDC4
4694	DEPDC5
4695	DEPDC7
4696	DEPTOR
4697	DERA
4698	DERL1
4699	DERL2
4700	DERL3
4701	DES
4702	DESI1
4703	DESI2
4704	DET1
4705	DEXI
4706	DFFA
4707	DFFB
4708	DFNA5
4709	DFNB31
4710	DFNB59
4711	DGAT1
4712	DGAT2
4713	DGAT2L6
4714	DGCR14
4715	DGCR2
4716	DGCR6
4717	DGCR6L
4718	DGCR8
4719	DGKA
4720	DGKB
4721	DGKD
4722	DGKE
4723	DGKG
4724	DGKH
4725	DGKI
4726	DGKK
4727	DGKQ
4728	DGKZ
4729	DGUOK
4730	DHCR24
4731	DHCR7
4732	DHDDS
4733	DHDH
4734	DHFR
4735	DHFRL1
4736	DHH
4737	DHODH
4738	DHPS
4739	DHRS1
4740	DHRS11
4741	DHRS12
4742	DHRS13
4743	DHRS2
4744	DHRS3
4745	DHRS4
4746	DHRS4L2
4747	DHRS7
4748	DHRS7B
4749	DHRS7C
4750	DHRS9
4751	DHRSX
4752	DHTKD1
4753	DHX15
4754	DHX16
4755	DHX29
4756	DHX30
4757	DHX32
4758	DHX33
4759	DHX34
4760	DHX35
4761	DHX36
4762	DHX37
4763	DHX38
4764	DHX40
4765	DHX57
4766	DHX58
4767	DHX8
4768	DHX9
4769	DIABLO
4770	DIAPH1
4771	DIAPH2
4772	DIAPH3
4773	DICER1
4774	DIDO1
4775	DIEXF
4776	DIMT1
4777	DIO1
4778	DIO2
4779	DIO3
4780	DIP2A
4781	DIP2B
4782	DIP2C
4783	DIRAS1
4784	DIRAS2
4785	DIRAS3
4786	DIRC1
4787	DIRC2
4788	DIRC3
4789	DIS3
4790	DIS3L
4791	DIS3L2
4792	DISC1
4793	DISP1
4794	DISP2
4795	DIXDC1
4796	DKC1
4797	DKFZp313A047
4798	DKFZp434P228
4799	DKK1
4800	DKK2
4801	DKK3
4802	DKK4
4803	DKKL1
4804	DLAT
4805	DLC1
4806	DLD
4807	DLEC1
4808	DLEU1
4809	DLEU7
4810	DLG1
4811	DLG2
4812	DLG3
4813	DLG4
4814	DLG5
4815	DLGAP1
4816	DLGAP2
4817	DLGAP3
4818	DLGAP4
4819	DLGAP5
4820	DLK1
4821	DLK2
4822	DLL1
4823	DLL3
4824	DLL4
4825	DLST
4826	DLX1
4827	DLX2
4828	DLX3
4829	DLX4
4830	DLX5
4831	DLX6
4832	DMAP1
4833	DMBT1
4834	DMBX1
4835	DMC1
4836	DMD
4837	DMGDH
4838	DMKN
4839	DMP1
4840	DMPK
4841	DMRT1
4842	DMRT2
4843	DMRT3
4844	DMRTA1
4845	DMRTA2
4846	DMRTB1
4847	DMRTC1
4848	DMRTC1B
4849	DMRTC2
4850	DMTF1
4851	DMTN
4852	DMWD
4853	DMXL1
4854	DMXL2
4855	DNA2
4856	DNAAF1
4857	DNAAF2
4858	DNAAF3
4859	DNAAF5
4860	DNAH1
4861	DNAH10
4862	DNAH10OS
4863	DNAH11
4864	DNAH12
4865	DNAH14
4866	DNAH17
4867	DNAH2
4868	DNAH3
4869	DNAH5
4870	DNAH6
4871	DNAH7
4872	DNAH8
4873	DNAH9
4874	DNAI1
4875	DNAI2
4876	DNAJA1
4877	DNAJA2
4878	DNAJA3
4879	DNAJA4
4880	DNAJB1
4881	DNAJB11
4882	DNAJB12
4883	DNAJB13
4884	DNAJB14
4885	DNAJB2
4886	DNAJB4
4887	DNAJB5
4888	DNAJB6
4889	DNAJB7
4890	DNAJB8
4891	DNAJB9
4892	DNAJC1
4893	DNAJC10
4894	DNAJC11
4895	DNAJC12
4896	DNAJC13
4897	DNAJC14
4898	DNAJC15
4899	DNAJC16
4900	DNAJC17
4901	DNAJC18
4902	DNAJC19
4903	DNAJC2
4904	DNAJC21
4905	DNAJC22
4906	DNAJC24
4907	DNAJC25
4908	DNAJC25-GNG10
4909	DNAJC27
4910	DNAJC28
4911	DNAJC3
4912	DNAJC30
4913	DNAJC4
4914	DNAJC5
4915	DNAJC5B
4916	DNAJC5G
4917	DNAJC6
4918	DNAJC7
4919	DNAJC8
4920	DNAJC9
4921	DNAL1
4922	DNAL4
4923	DNALI1
4924	DNASE1
4925	DNASE1L1
4926	DNASE1L2
4927	DNASE1L3
4928	DNASE2
4929	DNASE2B
4930	DND1
4931	DNER
4932	DNHD1
4933	DNLZ
4934	DNM1
4935	DNM1L
4936	DNM2
4937	DNM3
4938	DNMBP
4939	DNMT1
4940	DNMT3A
4941	DNMT3B
4942	DNMT3L
4943	DNPEP
4944	DNPH1
4945	DNTT
4946	DNTTIP1
4947	DNTTIP2
4948	DOC2A
4949	DOC2B
4950	DOCK1
4951	DOCK10
4952	DOCK11
4953	DOCK2
4954	DOCK3
4955	DOCK4
4956	DOCK5
4957	DOCK6
4958	DOCK7
4959	DOCK8
4960	DOCK9
4961	DOHH
4962	DOK1
4963	DOK2
4964	DOK3
4965	DOK4
4966	DOK5
4967	DOK6
4968	DOK7
4969	DOLK
4970	DOLPP1
4971	DONSON
4972	DOPEY1
4973	DOPEY2
4974	DOT1L
4975	DPAGT1
4976	DPCD
4977	DPCR1
4978	DPEP1
4979	DPEP2
4980	DPEP3
4981	DPF1
4982	DPF2
4983	DPF3
4984	DPH1
4985	DPH2
4986	DPH3
4987	DPH5
4988	DPH6
4989	DPH7
4990	DPM1
4991	DPM2
4992	DPM3
4993	DPP10
4994	DPP3
4995	DPP4
4996	DPP6
4997	DPP7
4998	DPP8
4999	DPP9
5000	DPPA2
5001	DPPA3
5002	DPPA4
5003	DPPA5
5004	DPRX
5005	DPT
5006	DPY19L1
5007	DPY19L2
5008	DPY19L3
5009	DPY19L4
5010	DPY30
5011	DPYD
5012	DPYS
5013	DPYSL2
5014	DPYSL3
5015	DPYSL4
5016	DPYSL5
5017	DQX1
5018	DR1
5019	DRAM1
5020	DRAM2
5021	DRAP1
5022	DRAXIN
5023	DRC1
5024	DRC7
5025	DRD1
5026	DRD2
5027	DRD3
5028	DRD4
5029	DRD5
5030	DRG1
5031	DRG2
5032	DRGX
5033	DRICH1
5034	DROSHA
5035	DRP2
5036	DSC1
5037	DSC2
5038	DSC3
5039	DSCAM
5040	DSCAML1
5041	DSCC1
5042	DSCR3
5043	DSCR4
5044	DSCR8
5045	DSE
5046	DSEL
5047	DSG1
5048	DSG2
5049	DSG3
5050	DSG4
5051	DSN1
5052	DSP
5053	DSPP
5054	DST
5055	DSTN
5056	DSTYK
5057	DTD1
5058	DTD2
5059	DTHD1
5060	DTL
5061	DTNA
5062	DTNB
5063	DTNBP1
5064	DTWD1
5065	DTWD2
5066	DTX1
5067	DTX2
5068	DTX3
5069	DTX3L
5070	DTX4
5071	DTYMK
5072	DUOX1
5073	DUOX2
5074	DUOXA1
5075	DUOXA2
5076	DUPD1
5077	DUS1L
5078	DUS2
5079	DUS3L
5080	DUS4L
5081	DUSP1
5082	DUSP10
5083	DUSP11
5084	DUSP12
5085	DUSP13
5086	DUSP14
5087	DUSP15
5088	DUSP16
5089	DUSP18
5090	DUSP19
5091	DUSP2
5092	DUSP21
5093	DUSP22
5094	DUSP23
5095	DUSP26
5096	DUSP27
5097	DUSP28
5098	DUSP3
5099	DUSP4
5100	DUSP5
5101	DUSP6
5102	DUSP7
5103	DUSP8
5104	DUSP9
5105	DUT
5106	DUX4
5107	DUXA
5108	DVL1
5109	DVL2
5110	DVL3
5111	DXO
5112	DYDC1
5113	DYDC2
5114	DYM
5115	DYNAP
5116	DYNC1H1
5117	DYNC1I1
5118	DYNC1I2
5119	DYNC1LI1
5120	DYNC1LI2
5121	DYNC2H1
5122	DYNC2LI1
5123	DYNLL1
5124	DYNLL2
5125	DYNLRB1
5126	DYNLRB2
5127	DYNLT1
5128	DYNLT3
5129	DYRK1A
5130	DYRK1B
5131	DYRK2
5132	DYRK3
5133	DYRK4
5134	DYSF
5135	DYTN
5136	DYX1C1
5137	DZANK1
5138	DZIP1
5139	DZIP1L
5140	DZIP3
5141	E2F1
5142	E2F2
5143	E2F3
5144	E2F4
5145	E2F5
5146	E2F6
5147	E2F7
5148	E2F8
5149	E4F1
5150	EAF1
5151	EAF2
5152	EAPP
5153	EARS2
5154	EBAG9
5155	EBF1
5156	EBF2
5157	EBF3
5158	EBF4
5159	EBI3
5160	EBLN1
5161	EBLN2
5162	EBNA1BP2
5163	EBP
5164	EBPL
5165	ECD
5166	ECE1
5167	ECE2
5168	ECEL1
5169	ECH1
5170	ECHDC1
5171	ECHDC2
5172	ECHDC3
5173	ECHS1
5174	ECI1
5175	ECI2
5176	ECM1
5177	ECM2
5178	ECSCR
5179	ECSIT
5180	ECT2
5181	ECT2L
5182	EDA
5183	EDA2R
5184	EDAR
5185	EDARADD
5186	EDC3
5187	EDC4
5188	EDDM3A
5189	EDDM3B
5190	EDEM1
5191	EDEM2
5192	EDEM3
5193	EDF1
5194	EDIL3
5195	EDN1
5196	EDN2
5197	EDN3
5198	EDNRA
5199	EDNRB
5200	EDRF1
5201	EEA1
5202	EED
5203	EEF1A1
5204	EEF1A2
5205	EEF1B2
5206	EEF1D
5207	EEF1E1
5208	EEF1G
5209	EEF2
5210	EEF2K
5211	EEF2KMT
5212	EEFSEC
5213	EEPD1
5214	EFCAB1
5215	EFCAB10
5216	EFCAB11
5217	EFCAB12
5218	EFCAB13
5219	EFCAB14
5220	EFCAB2
5221	EFCAB3
5222	EFCAB5
5223	EFCAB6
5224	EFCAB7
5225	EFCAB8
5226	EFCAB9
5227	EFCC1
5228	EFEMP1
5229	EFEMP2
5230	EFHB
5231	EFHC1
5232	EFHC2
5233	EFHD1
5234	EFHD2
5235	EFNA1
5236	EFNA2
5237	EFNA3
5238	EFNA4
5239	EFNA5
5240	EFNB1
5241	EFNB2
5242	EFNB3
5243	EFR3A
5244	EFR3B
5245	EFS
5246	EFTUD1
5247	EFTUD2
5248	EGF
5249	EGFL6
5250	EGFL7
5251	EGFL8
5252	EGFLAM
5253	EGFR
5254	EGLN1
5255	EGLN2
5256	EGLN3
5257	EGR1
5258	EGR2
5259	EGR3
5260	EGR4
5261	EHBP1
5262	EHBP1L1
5263	EHD1
5264	EHD2
5265	EHD3
5266	EHD4
5267	EHF
5268	EHHADH
5269	EHMT1
5270	EHMT2
5271	EI24
5272	EID1
5273	EID2
5274	EID2B
5275	EID3
5276	EIF1
5277	EIF1AD
5278	EIF1AX
5279	EIF1AY
5280	EIF1B
5281	EIF2A
5282	EIF2AK1
5283	EIF2AK2
5284	EIF2AK3
5285	EIF2AK4
5286	EIF2B1
5287	EIF2B2
5288	EIF2B3
5289	EIF2B4
5290	EIF2B5
5291	EIF2D
5292	EIF2S1
5293	EIF2S2
5294	EIF2S3
5295	EIF2S3L
5296	EIF3A
5297	EIF3B
5298	EIF3C
5299	EIF3CL
5300	EIF3D
5301	EIF3E
5302	EIF3F
5303	EIF3G
5304	EIF3H
5305	EIF3I
5306	EIF3J
5307	EIF3K
5308	EIF3L
5309	EIF3M
5310	EIF4A1
5311	EIF4A2
5312	EIF4A3
5313	EIF4B
5314	EIF4E
5315	EIF4E1B
5316	EIF4E2
5317	EIF4E3
5318	EIF4EBP1
5319	EIF4EBP2
5320	EIF4EBP3
5321	EIF4ENIF1
5322	EIF4G1
5323	EIF4G2
5324	EIF4G3
5325	EIF4H
5326	EIF5
5327	EIF5A
5328	EIF5A2
5329	EIF5AL1
5330	EIF5B
5331	EIF6
5332	ELAC1
5333	ELAC2
5334	ELANE
5335	ELAVL1
5336	ELAVL2
5337	ELAVL3
5338	ELAVL4
5339	ELF1
5340	ELF2
5341	ELF3
5342	ELF4
5343	ELF5
5344	ELFN1
5345	ELFN2
5346	ELK1
5347	ELK3
5348	ELK4
5349	ELL
5350	ELL2
5351	ELL3
5352	ELMO1
5353	ELMO2
5354	ELMO3
5355	ELMOD1
5356	ELMOD2
5357	ELMOD3
5358	ELMSAN1
5359	ELN
5360	ELOF1
5361	ELOVL1
5362	ELOVL2
5363	ELOVL3
5364	ELOVL4
5365	ELOVL5
5366	ELOVL6
5367	ELOVL7
5368	ELP2
5369	ELP3
5370	ELP4
5371	ELP5
5372	ELP6
5373	ELSPBP1
5374	EMB
5375	EMC1
5376	EMC10
5377	EMC2
5378	EMC3
5379	EMC4
5380	EMC6
5381	EMC7
5382	EMC8
5383	EMC9
5384	EMCN
5385	EMD
5386	EME1
5387	EME2
5388	EMG1
5389	EMID1
5390	EMILIN1
5391	EMILIN2
5392	EMILIN3
5393	EML1
5394	EML2
5395	EML3
5396	EML4
5397	EML5
5398	EML6
5399	EMP1
5400	EMP2
5401	EMP3
5402	EMX1
5403	EMX2
5404	EN1
5405	EN2
5406	ENAH
5407	ENAM
5408	ENC1
5409	ENDOD1
5410	ENDOG
5411	ENDOU
5412	ENDOV
5413	ENG
5414	ENGASE
5415	ENHO
5416	ENKD1
5417	ENKUR
5418	ENO1
5419	ENO2
5420	ENO3
5421	ENO4
5422	ENOPH1
5423	ENOSF1
5424	ENOX1
5425	ENOX2
5426	ENPEP
5427	ENPP1
5428	ENPP2
5429	ENPP3
5430	ENPP4
5431	ENPP5
5432	ENPP6
5433	ENPP7
5434	ENSA
5435	ENTHD1
5436	ENTHD2
5437	ENTPD1
5438	ENTPD2
5439	ENTPD3
5440	ENTPD4
5441	ENTPD5
5442	ENTPD6
5443	ENTPD7
5444	ENTPD8
5445	ENY2
5446	EOGT
5447	EOMES
5448	EP300
5449	EP400
5450	EP400NL
5451	EPAS1
5452	EPB41
5453	EPB41L1
5454	EPB41L2
5455	EPB41L3
5456	EPB41L4A
5457	EPB41L4B
5458	EPB41L5
5459	EPB42
5460	EPC1
5461	EPC2
