	ENSEMBL_ID
265	ENST00000537325.5
266	ENST00000378427.5
267	ENST00000465233.5
268	ENST00000498083.1
269	ENST00000471840.5
270	ENST00000378412.7
271	ENST00000502556.5
272	ENST00000401095.6
273	ENST00000378404.3
274	ENST00000511072.5
275	ENST00000378391.6
276	ENST00000514189.5
277	ENST00000270722.9
278	ENST00000463591.1
279	ENST00000509860.1
280	ENST00000378378.8
281	ENST00000378373.5
282	ENST00000378371.6
283	ENST00000445297.5
284	ENST00000418137.1
285	ENST00000294599.8
286	ENST00000356575.8
287	ENST00000491842.1
288	ENST00000378344.6
289	ENST00000344579.5
290	ENST00000378322.7
291	ENST00000270708.11
292	ENST00000424367.5
293	ENST00000465916.5
294	ENST00000419924.2
295	ENST00000378295.8
296	ENST00000604074.5
297	ENST00000354437.8
298	ENST00000357733.7
299	ENST00000346387.8
300	ENST00000603362.5
301	ENST00000604479.5
302	ENST00000378285.5
303	ENST00000378280.5
304	ENST00000378288.8
305	ENST00000378290.4
306	ENST00000294600.6
307	ENST00000444870.6
308	ENST00000452264.1
309	ENST00000561886.1
310	ENST00000378251.2
311	ENST00000378230.7
312	ENST00000438539.5
313	ENST00000461667.1
314	ENST00000443466.1
315	ENST00000428079.5
316	ENST00000378223.3
317	ENST00000625756.2
318	ENST00000338895.7
319	ENST00000378209.7
320	ENST00000341385.4
321	ENST00000361605.3
322	ENST00000378190.7
323	ENST00000378191.4
324	ENST00000378156.8
325	ENST00000622020.4
326	ENST00000378111.5
327	ENST00000378097.5
328	ENST00000378092.5
329	ENST00000445501.5
330	ENST00000352527.5
331	ENST00000341524.5
332	ENST00000389632.8
333	ENST00000428161.5
334	ENST00000602612.5
335	ENST00000164247.5
336	ENST00000472700.6
337	ENST00000378083.7
338	ENST00000458166.6
339	ENST00000462676.2
340	ENST00000262450.7
341	ENST00000475121.1
342	ENST00000484532.5
343	ENST00000234875.8
344	ENST00000497965.5
345	ENST00000471204.5
346	ENST00000465387.5
347	ENST00000462296.5
348	ENST00000465335.1
349	ENST00000377939.4
350	ENST00000343813.9
351	ENST00000377898.3
352	ENST00000377893.2
353	ENST00000608083.5
354	ENST00000377842.7
355	ENST00000377845.7
356	ENST00000377855.6
357	ENST00000545482.5
358	ENST00000361521.8
359	ENST00000473466.2
360	ENST00000377837.5
361	ENST00000377836.8
362	ENST00000377834.8
363	ENST00000487437.5
364	ENST00000489730.1
365	ENST00000377828.5
366	ENST00000418286.1
367	ENST00000632803.1
368	ENST00000416731.5
369	ENST00000461727.5
370	ENST00000475228.5
371	ENST00000478323.1
372	ENST00000633239.1
373	ENST00000434576.1
374	ENST00000377782.7
375	ENST00000356876.7
376	ENST00000351959.9
377	ENST00000348333.7
378	ENST00000351748.7
379	ENST00000481401.5
380	ENST00000535355.5
381	ENST00000400913.5
382	ENST00000340850.9
383	ENST00000537245.5
384	ENST00000377748.5
385	ENST00000377725.5
386	ENST00000377728.7
387	ENST00000377732.5
388	ENST00000400915.7
389	ENST00000377740.4
390	ENST00000377705.5
391	ENST00000333172.10
392	ENST00000351136.7
393	ENST00000411823.5
394	ENST00000415267.1
395	ENST00000328191.5
396	ENST00000319084.9
397	ENST00000435905.5
398	ENST00000377674.8
399	ENST00000488936.1
400	ENST00000619514.1
401	ENST00000377658.8
402	ENST00000377663.3
403	ENST00000467612.5
404	ENST00000610898.1
405	ENST00000496707.5
406	ENST00000463043.1
407	ENST00000377648.4
408	ENST00000054650.8
409	ENST00000307896.10
410	ENST00000377627.7
411	ENST00000472925.1
412	ENST00000451196.5
413	ENST00000377577.9
414	ENST00000294401.11
415	ENST00000426784.1
416	ENST00000303635.11
417	ENST00000473578.5
418	ENST00000557126.5
419	ENST00000467404.6
420	ENST00000495233.5
421	ENST00000490905.5
422	ENST00000476864.1
423	ENST00000054666.10
424	ENST00000470357.1
425	ENST00000377541.5
426	ENST00000613533.4
427	ENST00000614998.4
428	ENST00000377532.7
429	ENST00000361923.2
430	ENST00000377516.6
431	ENST00000361696.9
432	ENST00000054668.5
433	ENST00000615230.4
434	ENST00000377507.7
435	ENST00000474475.1
436	ENST00000493373.5
437	ENST00000338639.9
438	ENST00000493678.5
439	ENST00000377493.9
440	ENST00000377491.5
441	ENST00000377488.5
442	ENST00000469225.1
443	ENST00000474874.5
444	ENST00000377482.9
445	ENST00000467067.1
446	ENST00000469499.5
447	ENST00000471889.5
448	ENST00000289877.8
449	ENST00000337907.7
450	ENST00000377464.5
451	ENST00000400907.6
